Nom de l'objet,Programme,Adresse 1,Adresse 2,Adresse 3,Numéro postal,Localité,Canton - Département,Pays,Date de début de l'objet,Date de fin de l'objet,Concours ouvert à,Notes de l'objet,Auteurs,Rôle de l'auteur,Dossiers reliés,Pièces reliées
Concours pour le nouveau bâtiment des écoles des filles à Vevey,,,,,,Vevey,,Vaud,1872,1872,A. national,"Ouvert par la Municipalité sur décret du 15 mai du Conseil communal. Pas d'indication de composition du jury, de date d'ouverture ou de rendu ni de programme ou de conditions de participation (concours national au moins: deux lauréats travaillent à Stuttgart) dans l'Eisenbahn. Le concours est mentionné en 1878 (Eisenbahn vol. IX p.81) à l'occasion de la mise en service du bâtiment construit par Benjamin Recordon",,,,
"Concours pour le nouveau bâtiment des écoles des filles à Vevey, jugement",,,,,,Vevey,,Vaud,1872,,,"Le concours est mentionné en 1878 (Eisenbahn vol. IX p.81: historique, programme, dessins) à l'occasion de la mise en service du bâtiment construit par Benjamin Recordon. Dix-huit projets remis. Pas de premier prix. Trois 2e prix ex aequo 700.-  Un 3e prix 400.-  Une mention honorable à un architecte de Lausanne (son identité n'est pas précisée)","Stadler +;Ritscher von Steinbeck +;Recordon, Benjamin;Rouge +;Moritz;Monneron +","3e prix;3e prix;Juré, rapporteur;Concurrent;2e prix ex aequo;2e prix ex aequo",,
Concours (1er degré) pour le monument du général Dufour,,,,,,Genève,,Suisse,1877,12.1877,National,"Chercher dans Eisenbahn vol. V une annonce d'ouverture. Pas d'indication de programme, de date d'ouverture ou de rendu, ni de profession et de conditions de participation. Le concours est probablement ouvert au niveau national. Stehlin, J: il s'agit vraisemblablement de J. J. Stehlin (II)","Thomas, Jules;Cain, Auguste-Nicolas;Rothpletz, E;Iguel, Charles;Bourdillon, André Marcel;Lasius, G;Menn, Barthélemy;Dorcière, L;Stehlin, Johann Jakob (II);Franel, Jean;Millet, Aimé",Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré,,
"Concours restreint pour le nouveau Musée de la Société Industrielle de Mulhouse, jugement",,,,,,Mulhouse,,,1879,1879,,"""Par suite d'un concours entre un nombre restreint d'architectes de Mulhouse, de la Suisse et de Paris le projet de M. de Rutté fut adopté comme présentant les conditions d'exécution les plus économiques"", description de l'objet terminé SBZ 1884 vol.IV p.89 sans autre indication à propos du concours (MO, dates, jury, lauréats)","Rütti, Ludwig Friedrich von",Concurrent,,
Concours d'éléments analytiques : 2e classe : Rendu : La façade d'un phare,,,,,,,,,1882,,,,,,,0138.04.0001/262
Concours d'émulation - 2e classe - Esquisse: Une chambre à coucher princière,,,,,,Paris,,France,1883,,,"""Dans les grands palais, la chambre  coucher du prince a, par sa disposition et sa richesse, une importance qui en fait une des pièces principales de l'appartement.;Le principal motif de décoration de la chambre à projeter sera le lit, élevé sur une estrade fermée par une riche balustrade, et c'est sur ce point qu'on devra porter particulièrement son attention.;La longueur de la chambre, du côté du lit, n'excèdera pas 10 mètre; les autres dimensions sont indéterminées.;On fera le plan de la chambre avec arrachement des pièces adjacentes sur une échelle de 0m,01 pour mètre, et une coupe transversale, faisant voir la face du lit, à l'échelle double de celle du plan.""","Lesueur, Jean-Baptiste-Cicéron",,,0138.04.0001/71
"Concours pour l'usine de la Coulouvrenière, à Genève, jugement",,Coulouvrenière,,,,Genève,,Genève,1883,,,Pas d'extrait de rapport du jury dans la SBZ. Quatre projets remis. Pas d'indication du lauréat ou du montant d'éventuels prix. Voir SBZ 1886 vol.VIII p.146 le compte-rendu d'un exposé de l'ingénieur-entrepreneur Chappuis devant la SVIA à ce sujet,Turnbull;Bell & Cie;Escher Wyss & Cie;Rieter & Cie,Concurrent;Concurrent;Concurrent;Concurrent,,
Concours d'éléments analytiques : 2e classe : Rendu: Les détails d'un portique d'ordre dorique romain,,,,,,,,,1884,,,,,,,0138.04.0001/204 ; 0138.04.0001/268
Concours d'émulation - 2e classe - Esquisse: Un bureau de recrutement pour un chef-lieu de département,,,,,,Paris,,France,1884,,,"Projet en lien avec la nouvelle organisation de l'armée , doit servir pour l'armée et pour la territoriale.[sic];""Le caractère de cette construction doit être la durabilité et cette mâle simplicité que présentent les édifices militaires des derniers siècles."";Programme: cours de 250 m2, magasins de 70, petit corps de garde, salle de police cabinets d'aisance dont un pour les officiers, vestibule, chambres et bureaux, 2 ateliers; à l'étage, bureaux; 2e étage,chambre, salle et dortoir.;Terrain isolé de toute part, superficie pas + de 500 m2.;""On fera les plans des étages à l'échelle de 0m,0025 pour mètre et l'élévation au double.;Toute esquisse dessinée au crayon seulement sera mise hors de concours.""","Guillaume, Edmond-Jean-Baptiste",,,0138.04.0001/72
Concours pour une école d'horlogerie au Locle,,,,,,Le Locle,,Suisse,1884,1884,,"Pas d'indication de MO, de date d'ouverture ou de rendu dans la SBZ. Apparemment seuls les architectes membres du jury sont mentionnés (SBZ vol.III p.108)","Mayor, William;Rychner, Alfred",2e prix ex aequo;2e prix ex aequo,,
"Concours pour une école d'horlogerie au Locle, jugement",,,,,,Le Locle,,Suisse,1884,,,Pas d'extrait de rapport du jury dans la SBZ. Quatorze projets remis. Pas d'indication du montant des primes,"Colin, James Edouard;Ritter +;Piquet, Edouard-Eugène +;Favre, H",1er  prix;3e prix;3e prix;1er  prix,,
Concours restreint pour un bâtiment des salles de conférences à Neuchâtel,,,,,,Neuchâtel,,Suisse,1884,1884,Invitation,"Pas d'indication du MO (la ville?), brève description du programme SBZ août 1884 vol.IV p.43, pas d'indication de dates (en août1884  le bâtiment est pratiquement achevé), seuls les architectes membres du jury sont mentionnés","Châtelain, Léo;Droz, A",Juré;Juré,,
"Concours restreint pour un bâtiment des salles de conférences à Neuchâtel, jugement",,,,,,Neuchâtel,,Suisse,1884,,,"Pas d'extrait de rapport du jury (il n'a d'ailleurs pas été communiqué aux concurrents), ni d'indication du nombre de projets remis ou de montant des primes. ""Le comité a chargé M. Rychner de l'exécution du travail"", voir SBZ 1884 vol.IV p.43","Colin, James Edouard;Mayor, William;Rychner, Alfred",1er  prix;2e prix ex aequo;2e prix ex aequo,,
Concours : Prix Godeboeuf : 1885 : Une horloge adossée,,,,,,,,,1885,,,Porte les armes de Genève ainsi que la lettre G dans un cartouche. Surmontée d'un coq.,,,,0138.04.0001/60 ; 0138.04.0001/176
Concours d'émulation : 1ère classe : Esquisse: L'entrée principale d'un grand cimetière,,,,,,,,,1885,,,,,,,0138.04.0001/269
Concours d'émulation : 2e classe : Esquisse : Un banc d'&#339;uvre pour une Eglise paroissiale de petite ville,,,,,,,,,1885,,,,,,,0138.04.0001/89
Concours d'émulation : 2e classe : Rendu: Un théâtre pour une ville de second ordre,Culture et vie sociale,,,,,,,,1885,,,,,,,0138.04.0001/157 ; 0138.04.0001/174 ; 0138.04.0001/156
Concours pour une fontaine monumentale à élever sur la Place Neuve,Monument,pl. Neuve,,,,Genève,,Genève,1885,1886,,"Fontaine décorative à placer contre la Terrasse de M. de Sellon.;ouvert aux artistes genevois et suisses, ainsi qu'aux étrangers résidant à Genève.;Les projets peuvent être exécutés en peinture, dessin ou modelage à l'échelle de 5 cm /m. + un dessin d'ensemble. ;Le document explicite les conditions de nomination des jurés, les prix, etc. ;;""Les Artistes désirant faire ce Concours pourront aussi se procurer au prix de revient une photographie spéciale de l'ensemble de la Place Neuve"".",Section des Beaux-Arts de l'Institut National Genevois,,,0138.04.0001/81 ; 0138.04.0001/140 ; 0138.04.0001/79 ; 0138.04.0001/179 ; 0138.04.0001/80 ; 0138.04.0001/76 ; 0138.04.0001/78 ; 0138.04.0001/180 ; 0138.04.0001/82 ; 0138.04.0001/75 ; 0138.04.0001/77
Concours : Prix Godeboeuf : 1886 : Un lampadaire électrique,,,,,,,,,1886,,,,,,,0138.04.0001/255
Concours d'émulation : 1ère classe : Esquisse : Un monument commémoratif d'une Exposition universelle,,,,,,,,,1886,,,"Obélisque sur socle monumental, surmonté d'une statue féminine",,,,0138.04.0001/202
Concours d'émulation : 1ère classe : Rendu : Un odéon ou Salle de concert ,Culture et vie sociale,,,,,,,,1886,,,,,,,0138.04.0001/163 ; 0138.04.0001/158 ; 0138.04.0001/161
Premier concours pour le musée des beaux-Arts,Culture et vie sociale,,,,,Genève,,Suisse,1886,,A.suis.ét.canton,"Les concurrents ont le choix entre deux emplacements: La promenade de St-jean et le terrain des Casemates.;Le programme comporte: les collections de peinture; une galerie de sculpture; le musée des arts décoratifs (en création); des locaux ou galeries pour collections de plâtres, collection lapidaire, atelier de réparations, etc.",,,,
Concours : Prix Godeboeuf : 1887 : Un pont galerie au-dessus d'une rue,,,,,,,,,1887,,,,,,,0138.04.0001/175
Concours d'émulation : 1ère classe - Rendu : Un hôtel de Préfecture,,,,,,,,,1887,,,,,,,0138.04.0001/148 ; 0138.04.0001/147 ; 0138.04.0001/149 ; 0138.04.0001/141
Concours d'émulation : 1ère classe : Esquisse : Un amphithéâtre pour les oraisons funèbre,Religion,,,,,,,,1887,,,"Edifice de plan carré, couvert d'une coupole, d'inspiration antiquisante.;;Le nom de l'objet a pu être identifié grâce au dossier des Archives nationales de France",,,,0138.04.0001/203
Concours d'émulation : 1ère classe : Rendu : Une porte de ville,,,,,,,,,1887,,,"Selon le dossier des Archives nationales de France, Morsier obtient une mention pour son projet.;;",,,,0138.04.0001/178 ; 0138.04.0001/188
Concours d'émulation du 6 décembre [18]87: Escalier Henri II au Palais du Louvre,,,,,,,,,1887,,,Le titre au crayon rouge sur le plan de l'escalier remplace le titre imprimé qui était: Concours d'ornement et d'ajustement du 5 février 1887.,,,,0138.04.0001/61
Concours d'émulation : 1ère classe : Esquisse : La distribution d'un hôtel sur un terrain irrégulier,,,,,,,,,1888,,,,,,,0138.04.0001/190
Concours d'émulation : 1ère classe : Esquisse : Un pavillon pour l'Exposition universelle,Culture et vie sociale,,,,,,,,1888,,,,,,,0138.04.0001/154
"Concours d'émulation : 1ère classe : Rendu : Une villa dans les environs de Nice, 3.4.1888",,,,,,,,,1888,,,,,,,0138.04.0001/107 ; 0138.04.0001/168 ; 0138.04.0001/169 ; 0138.04.0001/166
Concours d'émulation : 1ère classe : Esquisse: Une volière dans un jardin d'hive,,,,,,,,,1889,,,,,,,0138.04.0001/167
Concours d'émulation : 1ère classe : Rendu : Un bazar ou grand magasin,,,,,,,,,1889,,,"Bâtiment principal situé dans un environnement de type ""grands boulevards parisiens"". Selon la coupe longitudinale, bâtiment sur rue avec volumes  d'exposition et bâtiment arrière, séparé par une cour de fonction plus administrative voire artisanale.;;Le projet porte le nom ""A la veste d'or"". Reçoit une 1ère mention.;;Infos complétées grâce au dossier des Archives nationales de France.",,,,0138.04.0001/200 ; 0138.04.0001/201 ; 0138.04.0001/133 ; 0138.04.0001/134
Concours pour les plans de l'édifice de Rumine,,"Riponne, place de la",,,,Lausanne,,Vaud,1889,4.189,International,Programme SBZ 1889 volume XIV p.91. Trois cent programmes ont été demandés (trente-six projets rendus seulement). Apparemment le premier concours dont le BSVIA/ futur BTSR fournisse les résultats accompagnés du rapport du jury,"Nénot, H.-P;Auer, Hans;Lasius, G;Hoffmann, Ludwig;Hirsch, Q;Cuénoud, Samuel;Ruffy, E;Golliez, H","Juré;Juré;Juré;Juré;Juré;Juré, président;Juré, président;Juré, secrétaire",,
"Concours pour la Banque cantonale vaudoise à Lausanne, jugement",,,,,,Lausanne,,Suisse,1891,,,Pas d'extrait de rapport du jury dans SBZ ni d'indication du nombre de projets remis ou de dates de délibérations. Pas de premier prix.  2e prix 3'000.-  Deux 3e prix ex aequo 2'500.-  4e prix 2'000.-,"Regamey, Jaques;Isoz, Francis;Hünerwadel, Theodor +;Bezencenet, Louis &;Meyer, Henri +;Girardet, Alexandre &",;Juré;3e prix ex aequo;1er  prix;Prix ex aequo;1er  prix,,
"Concours pour un bâtiment scolaire et d'administration, jugement",,Le Châtelard,,,,Montreux,,Vaud,1892,08.10.1892,,,"Flégel;Chaudet, Henri;Clerc, Gustave;néant",2e prix;3e prix;3e prix;1er  prix,,
"Concours pour un bâtiment scolaire et d'administration, jugement",,Le Châtelard,,,,Montreux,,Vaud,1892,08.10.1892,,,,,,
"Concours (1er degré) pour les bas-reliefs du vestibule d'entrée du Palais de justice fédéral, à Lausanne, jugement",,Montbenon,,,,Lausanne,Vaud,Suisse,1896,,,"Le jury décide de proposer un second degré où seuls les auteurs d'un projet primé lors du premier degré seraient admis à participer. Meyer (probablement Adolf Meyer) ayant rendu son projet en retard, il n'est admis au second degré qu'en renonçant au défraiement (1'500.- et les frais de transport) accordé aux autres concurrents du second degré. Seuls Meyer et Siber sont mentionnés (pas de résultats pour le concours au 1er degré dans la SBZ, chercher dans BSVIA)","Meyer;Siber, Gustav",Concurrent;3e prix ex aequo,,
Concours pour l'agrandissement du Kursaal à Montreux,,"Théâtre, rue du",,,,Montreux,,Vaud,1896,1.1897,A. national,"Très brève indication SBZ 1897 vol. XXIX p.35, sans mention du maître de l'ouvrage","Maillard, Louis;Juvet, Henri-Ed.-L",Juré;Juré,,
"Concours pour le casino d'Yverdon, jugement",,,,,,Yverdon,,Suisse,1896,,,"Pas d'extrait de rapport du jury dans la SBZ, chercher dans BSVIA. Vingt-trois projets remis. Trois 1erprix ex aequo 500.-  Deux 2e prix ex aequo 250.-  Deux mentions, la première avec recommandation d'achat","Châble, Gustave;Béguin, Jean;Widmer, Fritz;Wullschleger, Erwin +;Perret, Ch +;Lambert, André;Bezencenet, Louis &;Girardet, Alexandre &;Linder, Th",1er prix ex aequo;5e prix;2e prix ex aequo;2e prix ex aequo;2e prix ex aequo;Mention et achat;1er  prix;1er  prix;1er prix ex aequo,,
"Concours (2e degré) pour les bas-reliefs du vestibule d'entrée du Palais de justice fédéral, à Lausanne, jugement",,Montbenon,,,,Lausanne,Vaud,Suisse,1897,,,"Bref extrait du rapport du jury SBZ 1898 vol.XXXI p.44. Six projets remis. La composition du jury reste probablement celle du premier degré. A l'exception de Meyer, pas d'indication des identités des autres concurrents. Voir également BTSR 1906 p. 217. Gustave Siber exécutera les six bas-reliefs de l'entrée, achevés et posés en 1901 par Rossier et Pedroni, entrepreneurs, sous la direction de l'architecte Benjamin Recordon. En reconnaissance de son travail Meyer reçoit tout de même le défraiement de 1'500.- remis aux autres concurrents","Meyer;Siber, Gustav",Concurrent;3e prix ex aequo,,
"Concours pour la construction d'une école primaire à la Barre, à Lausanne",,,,,,Lausanne,,Suisse,1897,30.09.1897,,"Ouvert par la commune, pas d'indication de conditions de participation","Bourdillon, André Marcel;Combe, Dr;Maillefer, Paul;Reuller;Jung, Ernst","Juré;Juré;Juré, président;Juré;Juré",,
"Concours (1er degré) pour l'Université californienne à Berkeley près de San Francisco, jugement",,,,,,San Francisco,,Etats-Unis,1898,,,Voir SBZ vol. XXXII p.116 et XXXIV p.169. Cent trois projets remis. Onze projets retenus pour le 2e degré et quatre achats. Pas d'indication de récompenses lors du 1er degré,"Bluntschli, Friedrich;Neckelmann, Skjold;Joanny, Robert &;Joanny, Bernard &;des Anges, Charles;Flagg, Ernest;Warren, Withney;Barbaud &;Bahain, E &;Hull &;Stokes & +;Bénard, Emile;Cauldwell &;Hornbostel, H +;Hewett &;Dick, Rudolf;Despradelles, D +;Freedlander, J. H;Héraud, Gabriel &;Lord &;Eickmüller, W. C &;Codmann, Stephan +;Howells & +;Howard &",Juré;Achat;Achat;Achat;Achat;Achat;Admis 2e degré;Admis 2e degré;Admis 2e degré;Admis 2e degré;Admis 2e degré;1er  prix;Admis 2e degré;Admis 2e degré;Admis 2e degré;Admis 2e degré;Admis 2e degré;Admis 2e degré;Admis 2e degré;Admis 2e degré;Admis 2e degré;Admis 2e degré;Admis 2e degré;Admis 2e degré,,
"Concours (1er degré) pour un pénitencier cantonal à Payerne, jugement",,,,,,Payerne,,Suisse,1898,,,"Pas d'extrait de rapport du jury dans le BSVIA ou la SBZ, résultats dans la SBZ. Trente-trois projets remis. Cinq architectes et cinq projets admis au concours au 2e degré. A part Ott, trois autres projets reçoivent une mention honorable. Un nouveau programme est établi pour le second degré dans le délai de quinze jours environ","Béguin, Jean;Guinand, G;Moser, Robert;Moachon, Ernest;Isoz, Francis;Ott-Roniger, S","5e prix;Admis 2e degré;Juré, président;2e prix;Juré;2e prix ex aequo",,
"Concours des ponts de Lausanne, jugement",,"Chauderon-Montbenon, pont","Ecole industrielle-Caroline, pont","Cité-Ecole de médecine, pont",,Lausanne,,Vaud,1898,,,"Trois ponts différents, tous sur le vallon du Flon (titre SBZ ""Drei Brücken über das Flon-Thal in Lausanne""). Extraits du rapport du jury BSVIA 1899 p.145 et SBZ 1899 vol XXXIII p.66,75,84 et 96. Vingt projets remis, dont treize pour le pont Chauderon- Montbenon, trois pour le pont Ecole industrielle-Caroline et quatre pour le pont Cathédrale- Ecole de médecine, ci-dessus dans l'ordre:  A) Chauderon 1er prix 3'500.- 2e prix 2'500.-  3e prix 2'000.-  Deux achats 1'000.-  (Bosshardt/Regamey & Meyer; de Mollins)  B) Ecole industrielle-Caroline  1er prix 2'500.-  2e prix 2'000.-  3e prix 2'000.-     C) Cité-Ecole de médecine  Deux 1er prix ex aequo 3'000.-  2e prix 2'000.- Le pont ""Ecole-Industrielle- Cathédrale"" est prévu à l'emplacement de l'actuel pont Bessières. L'auteur de celui-ci est François Schüle, avec la collaboration d'Alphonse Vautier, du professeur Bosset et d'Eugène Jost; les entrepreneurs étaient les ACMV pour la charpente métallique et E. Bellorini pour les maçonneries. Voir aussi article A. Dommer dans le BTSR 1911 p.85 à propos du pont Bessières, avec historique. Nombreux compte-rendu du conseil communal sur le thème des ponts voir AVL. Correspondance SBZ vol. XXXIII p.100","Ateliers de constructions mécaniques de Vevey ACMV;Bouvier, Paul;Probst, E;Joos, Eduard;Elskes, Edouard +;Elskes, Edouard;Robert, Adolphe +;Meyer, Henri &;Bosshardt & Cie;Mollins, Samuel de;Regamey, Jaques &;Buss, Albert & Cie;Jost, Eugène;Bell & Cie;Doucas;Meili-Wapf, Heinrich;Simons, P","6e prix;2e prix ex aequo;2e prix, 3e prix;Juré;2e prix;Juré;2e prix;4e prix;Achat;Chargé de l'exécut.;4e prix;1er  prix;3e prix ex aequo;Concurrent;1er prix ex aequo;Juré;1er prix ex aequo",,
Concours pour l'Exposition cantonale vaudoise de Vevey,,,,,,Vevey,,Suisse,1899,11.1899,,"Pas d'indication de composition du jury dans le BSVIA, seule indication 1899 p.193",,,,
Concours pour l'Exposition cantonale vaudoise de Vevey,,,,,,Vevey,,Suisse,1899,11.1899,,"Pas d'indication de composition du jury dans le BSVIA, seule indication 1899 p.193",,,,
Concours pour le pénitencier de Payerne,Administration,,,,,Payerne,,Vaud,1899,1899,,"Pénitencier avec un pavillon d'entrée donnant accès à une cours. De part et d'autre, il y a une section femmes et l'infirmerie, un pavillon pour l'administration et les services généraux, puis les bâtiments des cellules disposées le long d'un long couloir rectiligne. A l'extrémité des bâtiments, des prolongements avec des locaux s'étendent sur un plan radio-concentrique.;;La devise est ""soleil partout"";;Concours (1er degré) pour un pénitencier cantonal à Payerne;;Annonce 1.1.1899 - Rendu 1.4.1899;;Ouvert par le Département de Justice et Police entre les architectes établis en Suisse. Description du programme SBZ vol. XXXIII p.21 et commentaire p.30 (programme non conforme aux prescription SIA: majorité de non architectes). Programme BSVIA 1899 p.143. Le premier degré est un concours d'idées sans rémunération pour les concurrents. Le second degré est un ""Concours définitif restreint"" soumis au même jury;;Robert Moser, Jean Béguin G. Guinand, Francis Isoz, Ernest Moachon admis au second degré;;In fine, recommandation d'exécution pour le projet d'Isoz.;;",[Morsier de & Weibel],Architecte,0164.04.0017,
Concours pour le viaduc de la Gryonne,,,,,,Gryon,,Vaud,1899,,,"Concours ouvert par la Société des Forces motrices de l'Avençon, sous les auspices de l'Etat.;",,,,
Concours du Musée d'Art et d'Histoire,Culture et vie sociale,,,,,Genève,,Suisse,1900,1904,,"[INSA 1850-1920, p. 343];Musée d'art et d'histoire. Premier concours en 1886. Le conseil administratif de la Ville de Genève ouvre 1900 un nouveau concours à deux degrés (concours général d'esquisses puis concours définitif). Prix attribués lors du concours définitif : 1er Marc Camoletti; 2ème de Morsier & Weibel.","[Morsier de & Weibel];[Laverrière];[Boursier, Bouvier ???]",Architecte;Architecte;Architecte,0164.04.0078,
"Concours pour l'établissement de nouvelles prisons de district à élever au Bois-Mermet, jugement",,,,,,Lausanne,,Suisse,1900,,,,"Bonjour, Charles-François +;Oulevey, Oscar +",;,,
Concours pour une Eglise évangélique réformée à Berne,,,,,,Bern,,Suisse,1900,1901,,Pour l'ouverture du concours et les dates de rendu voir SBZ fin 1900.,"Wurstemberger, René von;Auer, Hans;Reber, Paul;Ryser, Emil;Bluntschli, Friedrich",Juré;Juré;Juré;Juré;Juré,,
Concours de projet pour la reconstitution du Pont du Mont-Blanc à Genève,,,,,,Genève,,Suisse,1901,1901,,"Ce concours qui ne met pas en jeu à proprement parler un projet d'architecture présente pourtant un intérêt certain car il se situe dans le cadre de la problématique des choix techniques dans la construction de ponts et voit aux prises comme à Chauderon les tenant du fer et les tenant des deux systèmes de BA, Melan et Hennebique, par l'intermédiaire de leurs agents locaux","Vautier, Alphonse;Ritter, W;Schüle, François",Juré;Juré;Juré,,
"Concours pour la construction du viaduc de Fenil, à Saint-Légier",,,,,,Saint-Légier,,Suisse,1901,,,"Concours restreint parmi les constructeurs de ponts métalliques en Suisse, Zschokke est l'auteur de "" l'offre la plus avantageuse"". Travaux de maçonnerie confiés à Vago & Champion. Travaux commencés en septembre 1892.  Article de V. Ryncki, directeur des Chemins de fer électriques veveysans, BTSR 1907 p.161,173","Zschokke, Conradin",Concurrent probable,,
Concours de façades,,,,,,Genève,,Suisse,1902,1902,,"BTSR 1902, p.80. Concours organisé par la Société des Intérêts de Genève, présidée par M. Roux. Le concours portait sur des bâtiments construits dans l'agglomération urbaine genevoise de de 189 à 1901, à l'exclusion des édifices publics et des villas. 73 constructions présentées, 4 écartées comme ayant le caractère de villas (""objet d'un prochain concours""), 49 façades examinées après regroupement des façades identiques ou adjacentes. ","Fatio, Guillaume;Bourdillon, André Marcel",Juré;Juré,,
"Concours de projet pour la reconstitution du Pont du Mont-Blanc à Genève, jugement",,,,,,Genève,,Suisse,1902,,,"Résumé du rapport des experts (l'ing. Alph. Vautier et les prof. Ritter et Schüle) dans BTSR 1902 p.99. Les experts concluaient ""à l'impossibilité d'exécuter n'importe lequel des projets...et à la nécessité de demander aux auteurs...un remaniement complet de ces derniers sur des bases nettement déterminées""(BTSR 1902, p.294, signé E. Imer-Schneider). Dans un deuxième temps, la Commission du Conseil reçoit le 24 avril 1902 les nouveaux projets Autran, Poujolat, Cuénod, Riondel, tous avec devis ainsi que ceux de deux nouveaux protagonistes, Blanc et Maillart & Cie (?), tous les deux sans devis.Le projet Autran (avec Ch. Schmiedt et Streit-Baron comme entrepreneurs généraux), comprenant poutres continues métalliques et tablier en BA est recommandé par les experts puis par la Commission à l'unanimité ""malgré la sympathie très prononcée que rencontrait une solution en béton armé"" chez plusieurs membres. Le Conseil municipal adopte le 17.10.1902 une convention passée avec l'ing. Autran où celui-ci se charge de l'ensemble des travaux à titre d'entrepreneur général sur la base d'un  prix forfaitaire de 740'000.-. Il s'est préalablement assuré la collaboration de Wartmann & Valette de Brugg pour une moitié de la struct. métallique et l'ensemble du montage, de Ch. Schmiedt pour l'autre moitié,  de Streit-Baron, entrepreneur, pour les dalles en BA . Ce dernier convient de les sous-traiter à Ed. Cuénod. ","Autran, Georges;Maillart & Cie;Blanc;Schmiedt, Charles-Henri;Cuénod, Edouard;Poujoulat, Pierre;Riondel","Juré, suppléant;Concurrent;;;;;",,
Concours pour le nouveau collège de la Tour-de-Peilz,,,,,,La Tour-de-Peilz,,Vaud,1902,31.05.1902,,"Dans le jury, Chaudet assiste le municipalité comme conseil","Falconnier, Gustave;Maillard, Louis;Chaudet, Victor;Jost, Eugène;Nicod, H","Concurrent;Juré;Juré, absent;3e prix ex aequo;Juré, président",,
"Concours pour le nouveau collège de la Tour-de-Peilz, jugement",,,,,,La Tour-de-Peilz,,Vaud,1902,1902,,"1er prix 1'000.-: ""Ecolier dessiné"", Meyer & Convers; 2e prix 700.-: ""Au Soleil"",Meyer & Convers; 3e prix 500.-: ""Labor"", H. Baudin; deux mentions honorables projets ""AAA"" et ""Con amore"". Rapport du jury BTSR 1902, p.183.","Meyer, Henri +;Convert, Robert +;Baudin, Henry",Prix ex aequo;Prix ex aequo;Juré,,
"Concours pour un bâtiment d'archives, à Neuchâtel",,,,,,Neuchâtel,,Suisse,1902,15.10.1902,,,"Vischer, Eduard;Perrier, Louis;Châtelain, Léo;Naef, Albert;Piaget, Louis",Juré;Juré;Juré;Juré;Juré,,
"Concours pour un bâtiment d'archives, à Neuchâtel",,,,,,Neuchâtel,,Suisse,1902,15.10.1902,,,,,,
"Concours pour un kiosque à musique à élever sur l'Esplanade de Montbenon, à Lausanne, jugement",,,,,,Lausanne,,Vaud,1902,,,"BTSR 1902, p.281. 10 projets présentés, trois projets en présence après deux tours éliminatoires, dans l'ordre, sans prix, le premier mentionné remportant l'exécution du travail: ""Flûte"" de Verrey et Heydel, ""Clé de sol""(dessin) de Bonjour & Oulevey, ""10000"" de J. Regamey. ","Verrey, Henri &;Bonjour, Charles-François +;Regamey, Jaques;Heydel, Alfred &;Oulevey, Oscar +",;;;;,,
"Concours pour un plan de rectification, d'embellissement et d'assainissement de la ville de Genève, jugement",,,,,,Genève,,Suisse,1902,,,"BTSR 1902, p. 96 et 170.  Le concours est divisé en deux parties, rive gauche et rive droite. La liste ci-dessus fait apparaître d'abord les auteurs des projets primés pour la rive gauche, puis ceux primés pour la rive droite. Neuf projets reçus. ""Le travail fait par les concurrents va être utilisé par le bureau des Travaux de la Ville de Genève pour l'établissement d'un plan-type dans leqel seront concentrées toutes les propositions approuvées par le jury.""","Garcin, Henri +;Juvet, Henri-Ed.-L +;Chabloz, Alfred;Marschall, Joseph;Tedeschi, Jacques;Ody, Firmin","2e prix;2e prix;3e prix;1er  prix;1er prix ex aequo, 2e prix ex aequo;1er prix ex aequo, 2e prix ex aequo",,
"Concours pour la construction d'un pont sur l'Arve, à Genève",,"Acacias, av. des",,,,Genève,,Genève,1903,30.11.1903,Constructeurs s. &do,Ouvert par le Département des Travaux publics du canton de Genève. Ouvert aux constructeurs suisses et domiciliés en Suisse.,"Schüle, François;Juvet, Henri-Ed.-L;Dommer, Auguste;Charbonnier, Emile",Juré;Juré;Juré;Organisateur du conc,,
"Concours pour le Kiosque des Tramways sur la place St.François, à Lausanne","Transport, communication, génie civil",Place St.François,,,,Lausanne,,Vaud,1903,1903,Autre,La Municipalité décide d'étudier la création d'un édicule plus spacieux pouvant accueillir des WC en sous-sol et ouvre un concours entre les architectes lausannois. BTSR 1903 p.60,"Isoz, Francis;Barraud, Ernest;Bezencenet, Louis",Juré;Juré;Juré,,
"Concours pour le Kiosque des Tramways sur la place St.François, à Lausanne, jugement",,"St.François, place",,,,Lausanne,,Vaud,1903,1903,,"BTSR 1903, p.60","Verrey, Henri &;Heydel, Alfred &;Regamey, Jaques;Monod, Eugène &;Laverrière, Alphonse &",;;;Architecte;Architecte,,
"Concours pour le Kiosque des Tramways sur la place St.François, à Lausanne, jugement","Transport, communication, génie civil","St.François, place",,,,Lausanne,,Vaud,1903,1903,Autre,"BTSR 1903, p.60-61, publication u premier prix et de la première mention.","Laverrière, Alphonse &;Regamey, Jaques;Monod, Eugène &;Verrey, Henri &;Heydel, Alfred &",Architecte;1er  prix;Architecte;1er  prix;,,
