Nom de l'objet,Programme,Adresse 1,Adresse 2,Adresse 3,Numéro postal,Localité,Canton - Département,Pays,Date de début de l'objet,Date de fin de l'objet,Concours ouvert à,Notes de l'objet,Auteurs,Rôle de l'auteur,Dossiers reliés,Pièces reliées
"Concours pour le Centre d'exploitation des routes nationales (CeRN), Bursins",Centre d'entretien routier,,,,1183,Bursins,,Suisse,1999,,,,"Mangeat, Vincent",,0184.04.0232,
"Concours pour le collège Tombay II, Bussigny-près-Lausanne",Ecole,,,,1030,Bussigny-près-Lausanne,,Suisse,1999,,,,"Mangeat, Vincent",,0184.04.0231,
"Concours pour le cycle d'orientation de la Gruyère, La Tour-de-Trême",Ecole,,,,1635,La Tour-de-Trême,,Suisse,1999,,,,"Mangeat, Vincent",,0184.04.0230,
"Concours pour l'école technique ""CIFOM"", Le Locle",Ecole,,,,2400,Le Locle,,Suisse,2000,2001,,,"Mangeat, Vincent",,0184.04.0239,
"Concours pour le groupe scolaire économique des Ouches, Genève",Ecole,,,,1203,Genève,,Suisse,2000,,,,"Mangeat, Vincent",,0184.04.0238,
"Concours pour le Gymnase intercantonal de la Broye, Payerne",Ecole,,,,1530,Payerne,,Suisse,2000,2001,,,"Mangeat, Vincent",,0184.04.0237,
"Concours pour les équipements collectifs communaux ""Le Pommier"", Le Grand-Saconnex",Equipement public,,,,1218,Le Grand-Saconnex,,Suisse,2000,,,,"Mangeat, Vincent",,0184.04.0236,
"Concours pour un bâtiment pour le service d'incendie et secours, la police cantonale et les juges d'instruction, La Chaux-de-Fonds",Bâtiment administratif,,,,,La Chaux-de-Fonds,,Suisse,2001,,,,"Mangeat, Vincent",,0184.04.0241,
Concours pour une halle et un atelier à la place d'armes de Bure,Militaire,,,,,Bure,,Suisse,2001,,,,"Mangeat, Vincent",,0184.04.0240,
Concours pour l'amphithéâtre de Nyon (mise en valeur des vestiges archéologiques et construction d'un lieu de visite et de spectacle),Musée,,,,1260,Nyon,,Suisse,2002,,,,"Mangeat, Vincent",,0184.04.0242,
"Concours pour l'extension du Gymnase de Burier, La Tour-de-Peilz",Ecole,,,,1814,La Tour-de-Peilz,,Suisse,2002,,,,"Mangeat, Vincent",,0184.04.0248,
"Concours pour la transformation et l'agrandissement du stade olympique de la Pontaise, Lausanne",Equipement sportif,,,,1018,Lausanne,,Suisse,2002,,,,"Mangeat, Vincent",,0184.04.0245,
"Concours pour un bâtiment scolaire, Porrentruy",Ecole,,,,,Porrentruy,,Suisse,2002,,,,"Mangeat, Vincent",,0184.04.0244,
Concours pour un nouveau bâtiment à la place d'armes de Bière,Militaire,,,,,Bière,,Vaud,2002,,,,"Mangeat, Vincent",,0184.04.0243,
"Concours pour une salle de sport au gymnase de Beaulieu, Lausanne",Equipement sportif,,,,1004,Lausanne,,Vaud,2002,,,,"Mangeat, Vincent",,0184.04.0246,
"Concours pour la cération du portail sud du tunnel de Glion, Montreux",Ouvrage d'art,,,,1823,Glion,,Suisse,2003,,,,"Mangeat, Vincent",,0184.04.0249,
"Concours pour l'école de culture générale et de commerce post-obligatoire ""Le Rolliet"", Plan-les-Ouates",Ecole,,,,1228,Plan-les-Ouates,,Suisse,2004,,,,"Mangeat, Vincent",,0184.04.0251,
concours pour le théâtre de Genève,,,,,,,,,[1875],,,,,,0002.02.034-6,
Concours pour la construction d'un Hôtel-de-Ville à Vallorbe,,,,,,Vallorbe,,Suisse,[1901],[1901],,Daté par publication du concours par le BTSR:;Le projet de Morsier et Weibel n'a pas été primé,[Morsier de & Weibel],Architecte,,
"Concours pour le pont de Pyrimont sur le Rhône, jugement",,,,,,Pyrimont,,,[1906],,,"Article du BTSR 1908 p.273 par l'auteur du pont, Samuel de Mollins. Le projet est choisi pour l'exécution par la Commission interdépartementale de la Haute-Savoie et de l'Ain. Concours ""général"" ouvert entre ""tous les modes de construction"" en 1903. Travaux commencés en 1905, achevés probablement en 1907 ","Mollins, Samuel de",Chargé de l'exécut.,,
"Concours, devise ""Wie ich es auffasse""",,,,,,,,,[1919],,,,"Lanz, Eduard",,0004.04.0155 ; 0004.04.0157,
"Concours d'idées pour l'étude des plans du nouvel hôtel de la Banque Populaire Suisse à Fribourg, projet AL",Commerce,"Gare, av de la","Tivoli, av de",,,Fribourg,,Fribourg,[1921],15.09.1921,,"Devise ""populus""","Laverrière, Alphonse",,0002.04.0092,0002.MIGRATION/40001 ; 0002.04.0092/1 ; 0002.04.0092/10001
"Concours Bureau International du Travail, Genève",,,,,,Genève,Genève,Suisse,[1923],,,,"Lanz, Eduard",,0004.04.0184,
